EventID	Status	Request Time	End Time	Turnaround Time	Pad
0		L		0		2		2		B
1		L		2		4		2		A
2		L		4		6		2		A
4		L		6		8		2		A
3		D		6		12		6		A
6		L		10		14		4		A
7		L		12		16		4		A
8		L		14		18		4		A
9		L		16		20		4		A
5		A		10		22		12		B
10		L		18		22		4		A
11		L		20		24		4		B
13		D		22		26		4		A
14		L		24		28		4		A
15		L		26		30		4		A
17		D		30		34		4		A
12		A		22		36		14		B
16		L		28		36		8		A
18		L		30		38		8		B
21		D		36		40		4		A
19		L		32		42		10		A
25		E		40		44		4		B
20		L		34		44		10		A
22		L		36		46		10		A
23		L		38		48		10		A
24		L		40		50		10		A
27		L		42		52		10		A
28		L		44		54		10		A
30		L		46		56		10		A
31		L		48		58		10		A
26		E		40		60		20		A
32		A		50		62		12		B
33		L		50		62		12		A
35		L		52		64		12		B
29		D		46		66		20		A
36		L		54		68		14		A
34		D		52		72		20		A
37		L		56		74		18		A
40		A		62		76		14		B
38		L		58		78		20		B
46		D		72		78		6		A
39		L		60		80		20		A
41		L		62		82		20		A
53		E		80		84		4		B
42		L		64		84		20		A
43		L		66		86		20		A
44		L		68		88		20		A
45		L		70		90		20		A
47		L		72		92		20		A
49		L		74		94		20		A
50		L		76		96		20		A
51		L		78		98		20		A
52		L		80		100		20		A
55		L		82		102		20		A
56		L		86		104		18		A
58		L		90		106		16		A
59		L		92		108		16		A
60		L		94		110		16		A
61		L		96		112		16		A
62		L		98		114		16		A
64		L		102		116		14		A
65		L		104		118		14		A
66		L		112		120		8		A
